[14-Mar-2026 02:48:05 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX308-A2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[14-Mar-2026 03:24:24 UTC] PHP Fatal error:  Out of memory (allocated 37748736 bytes) (tried to allocate 4096 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/class-wp-theme-json.php on line 4322
[14-Mar-2026 03:24:24 UTC] PHP Fatal error:  Out of memory (allocated 37748736 bytes) (tried to allocate 12288 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/functions.php on line 6910
[14-Mar-2026 03:24:27 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/blocks/index.php on line 29
[14-Mar-2026 03:24:27 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/blocks/index.php on line 29
[14-Mar-2026 03:24:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/customizer.php on line 351
[14-Mar-2026 03:24:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[14-Mar-2026 03:24:34 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/customizer.php on line 351
[14-Mar-2026 03:24:34 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:36 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/customizer.php on line 351
[14-Mar-2026 03:24:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/blocks/index.php on line 30
[14-Mar-2026 03:24:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/customizer.php on line 14
[14-Mar-2026 03:24:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/cron.php on line 21
[14-Mar-2026 03:24:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/blocks/index.php on line 29
[14-Mar-2026 03:24:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:24:50 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/class-ic-sitewide-bar.php on line 231
[14-Mar-2026 03:24:50 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 03:25:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/class-ic-sitewide-bar.php on line 231
[14-Mar-2026 03:25:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-A2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
